Date,Mo Chit,Saphan Khwai,Ari,Sanam Pao,Victory Monument,Phaya Thai,Ratchathewi,Siam,Chit Lom,Phloen Chit,Nana,Asok,Phrom Phong,Thong Lo,Ekkamai,Phra Khanong,On Nut,Bang Chak,Punnawithi,Udom Suk,Bang Na,Bearing,Ratchadamri,Sala Daeng,Chong Nonsi,Surasak,Saphan Taksin,Krung Thon Buri,Wongwian Yai,Pho Nimit,Talat Phlu,Wutthakat,Bang Wa,National Stadium
Jan-54,978860,212700,292003,83348,1068595,488550,264506,1470049,632093,390096,430311,909425,561363,294494,296320,231749,1062421,0,0,0,0,0,118236,732465,475622,270087,406680,319635,358026,0,0,0,0,0
Feb-54,910389,198639,275524,80505,1007862,440419,251168,1381141,608406,371915,404744,882473,531162,281732,276354,216788,986093,0,0,0,0,0,113079,691678,429326,246994,380673,304422,332341,0,0,0,0,0
Mar-54,1090863,245411,338171,100356,1219046,716753,294334,1772546,707218,442540,443342,1041139,590009,323776,311757,253036,1170770,0,0,0,0,0,138059,786557,529522,262187,400699,362661,397002,0,0,0,0,0
Apr-54,963054,208489,272295,83001,1057449,589835,238627,1518667,582126,346866,372441,819485,482649,265928,272263,212374,984345,0,0,0,0,0,110564,762000,428371,219836,335462,307218,349873,0,0,0,0,0
May-54,986296,226170,287714,89917,1126802,545933,257094,1543301,627829,382201,395328,905355,537485,294388,294533,235082,1063654,0,0,0,0,0,122779,688616,452654,246810,351794,345443,376091,0,0,0,0,0
Jun-54,1045941,239679,328220,104784,1191961,560312,284275,1646975,691028,441493,411640,1016741,587425,322579,316564,258633,1173140,0,0,0,0,0,132299,790522,540614,303011,405551,399134,432242,0,0,0,0,0
Jul-54,1073022,235486,309579,105547,1233539,565256,284092,1724937,682862,423736,438364,1017332,580766,316817,323663,256766,1160169,0,0,0,0,0,128315,774205,519220,290273,419364,393886,421496,0,0,0,0,0
Aug-54,1098643,240864,328338,109539,1271021,577558,300756,1712924,713202,451154,435173,1076684,624123,344767,345129,278313,988905,160105,139933,290465,80373,380468,141924,827721,559147,309090,461684,421350,447173,0,0,0,0,0
Sep-54,1040129,226605,319471,105151,1196841,535969,288377,1509546,703094,443064,432645,1066757,602633,340225,342304,268811,785562,232016,201452,428613,90786,527510,134721,787498,528600,285664,407378,404313,425569,0,0,0,0,0
Oct-54,927362,214900,278997,90670,1041123,640442,245338,1473020,594337,389387,369980,1048916,521198,302904,289710,247040,746365,237940,200629,454244,102625,633871,117930,675837,497716,231036,318813,379739,411211,0,0,0,0,0
Nov-54,536599,235648,361955,112387,956510,516828,229424,1241248,587372,411551,314308,1117192,508544,311830,288806,266372,791322,261534,223830,539436,131082,559942,110613,682576,507477,234379,274196,321137,439338,0,0,0,0,0
Dec-54,1035078,230859,312253,96326,1202353,540713,283228,1713782,762595,421316,410811,1258636,590829,340690,347107,283754,792037,272094,222366,506149,112460,595977,128451,770062,511747,271603,412656,394021,533420,0,0,0,0,0
